sim seed ne n mur mud1 mufv1 mud2 mufv2 ts1 int12 genomesize rrate GSS.He GSS.Dj GSS.WCst GSS.S GSS.thetaW GSS.D GSS.Da GSS.ZZ
44 352887965 6562 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.1495912535 0.0347617045055 0.153695966365 1636 249.108110316 -0.0541999052521 0.0249003154526 NA
45 424460941 6670 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.15351222694 0.0475342200566 0.20085260972 1585 241.34251519 0.0252334553158 0.0342659050774 NA
46 141948791 564 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.089721499261 0.000687882466668 0.00636104581564 156 23.7535850912 -1.2304619617 0.000572538976936 NA
47 453643094 1728 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.139647144176 0.0402405439719 0.208051415943 532 81.0058158239 -0.253985952922 0.0324175978577 NA
48 156441863 8239 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.163186297165 0.00114252751754 0.00405245491196 2180 331.941124993 0.221401495881 0.000662644414735 NA
49 227629102 4839 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.138629862911 -0.00021024449081 -0.000858685465709 1294 197.032943 -0.276036978069 -0.000118988489589 NA
50 487060755 4057 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.185449601258 0.000528043948463 0.00244167686178 1297 197.489742714 0.671703790939 0.000453360092676 NA
51 173957405 6443 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.171762959629 0.0021034789156 0.00699608055677 1637 249.260376887 0.394982812252 0.00120587513008 NA
52 638865095 8456 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.163536296846 0.000773159021157 0.00284030791925 2392 364.221638065 0.228546392164 0.000465152371388 NA
53 342016833 2373 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.106503202451 0.0247749316322 0.157202255297 630 95.9279397915 -0.922449119117 0.0181669039643 NA
54 286757152 7795 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.141888607745 0.0488629007349 0.227637444965 1982 301.792343915 -0.210366724548 0.0364358481357 NA
55 749937873 8592 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.177449690238 0.000287385173079 0.000952032638314 2242 341.381652401 0.51063090475 0.000169018150522 NA
56 143269868 1888 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.194865356326 -0.000873410265666 -0.00247428025432 552 84.0511472459 0.85766861681 -0.000481557242735 NA
57 378733888 1334 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.126182412553 0.000810192619029 0.0042910932766 345 52.5319670287 -0.522254326566 0.000542621804676 NA
58 230030603 6357 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.161630349571 -0.00028153489609 -0.000756712015457 1688 257.025972013 0.189721674602 -0.00012226148515 NA
